id,schoolName,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,AVERAGE,RegionName,Lan,Lon,Add1,Add2,Add3
110,Fairfax Senior High,21,21,21,20,20.75,Fairfax,34.0818692,-118.3602684,Melrose Avenue,Fairfax,Los Angeles
111,Foshay Learning Center,19,18,19,18,18.5,South Los Angeles,34.019144,-118.3071074,South Harvard Boulevard,South Los Angeles,Los Angeles
112,Francisco Bravo Medical Magnet High,21,20,21,20,20.5,Cornwell Street,34.0582608,-118.203374,1200,Cornwell Street,Northeast Los Angeles
113,Fremont Academy of Engineering and Design,19,17,18,18,18.0,Pomona,34.0409683,-117.7564057,West Franklin Avenue,Pomona,Los Angeles County
114,Gabrielino High,28,28,26,26,27.0,San Gabriel,34.082969,-118.0920652,South San Gabriel Boulevard,San Gabriel,Los Angeles County
115,Gahr (Richard) High,21,21,22,22,21.5,Cerritos,33.8735578,-118.0942995,Artesia Boulevard,Cerritos,Los Angeles County
116,Ganesha High,17,16,17,17,16.75,Pomona,34.0693384,-117.7903715,Fairplex Drive,Pomona,Los Angeles County
117,Gardena Senior High,18,17,17,17,17.25,Harbor Gateway North,33.8667951,-118.2970751,West 182nd Street,Harbor Gateway North,Gardena
118,Garey High,17,17,18,18,17.5,Pomona,34.0385026,-117.7516959,West Lexington Avenue,Pomona,Los Angeles County
119,Gladstone High,21,21,21,22,21.25,Covina,34.1048782,-117.9136796,North Enid Avenue,Covina,Los Angeles County
120,Glen A. Wilson High,25,23,24,24,24.0,Hacienda Heights,33.9993978,-117.9465717,Wedgeworth Drive,Hacienda Heights,Los Angeles County
121,Glendale High,23,22,23,23,22.75,Citrus Grove,34.1446294,-118.2327117,East Broadway,Citrus Grove,Glendale
122,Glendora High,25,23,24,23,23.75,Glendora,34.1342912,-117.835489,East Foothill Boulevard,Glendora,Los Angeles County
123,Golden Valley High,25,23,21,23,23.0,Saugus,34.399583,-118.4925352,Robert C. Lee Parkway,Saugus,Santa Clarita
124,Granada Hills Charter High,25,25,24,24,24.5,Granada Hills,34.260973,-118.5252465,Zelzah Avenue,Granada Hills,Los Angeles
125,Grover Cleveland Charter High,26,26,24,24,25.0,Reseda,34.2189701,-118.5486914,Vanalden Avenue,Reseda,Los Angeles
126,Hawthorne High,18,17,17,17,17.25,Hawthorne,33.9173288,-118.3631462,West El Segundo Boulevard,Hawthorne,Los Angeles County
127,Hawthorne Math and Science Academy,20,20,21,19,20.0,Hawthorne,33.9202026,-118.3542655,West Broadway,Hawthorne,Los Angeles County
128,Helen Bernstein High,15,14,16,15,15.0,Central LA,34.0962743,-118.3147127,North Wilton Place,Central LA,Los Angeles
129,High Tech LA,20,21,21,20,20.5,Lake Balboa,34.1872124,-118.5061308,Victory Boulevard,Lake Balboa,Los Angeles
130,Highland High,22,21,19,20,20.5,Central LA,34.099165,-118.3400514,North Highland Avenue,Central LA,Los Angeles
131,"Hilda L. Solis Learning Academy School of Technology, Business and Education",17,16,18,18,17.25,East Los Angeles,34.0392323,-118.1717411,North Humphreys Avenue,East Los Angeles,Los Angeles County
132,Hollywood Senior High,20,20,19,20,19.75,Central LA,34.099165,-118.3400514,North Highland Avenue,Central LA,Los Angeles
133,Huntington Park Senior High,16,16,17,17,16.5,Huntington Park,33.9866157,-118.2188764,Miles Avenue,Huntington Park,Los Angeles County
134,ICEF View Park Preparatory High,18,17,16,16,16.75,South Los Angeles,33.990284,-118.3311651,Crenshaw Boulevard,South Los Angeles,Los Angeles
135,Inglewood High,16,16,16,16,16.0,Inglewood,33.9613552,-118.3554174,South Grevillea Avenue,Inglewood,Los Angeles County
136,International Polytechnic High,26,25,23,23,24.25,Pomona,34.0508853,-117.8195404,West Temple Avenue,Pomona,Los Angeles County
137,International Studies Learning Center at Legacy High School Complex,19,18,18,18,18.25,South Gate,33.9412671,-118.1789574,Tweedy Boulevard,South Gate,Los Angeles County
138,James A. Garfield Senior High,18,17,19,17,17.75,East Los Angeles,34.0268565,-118.1579415,East 6th Street,East Los Angeles,Los Angeles County
139,James Monroe High,20,19,20,19,19.5,North Hills,34.2383746,-118.4769293,Haskell Avenue,North Hills,Los Angeles
140,John A. Rowland High,25,25,26,25,25.25,Rowland Heights,33.9819728,-117.8848705,South Otterbein Avenue,Rowland Heights,Los Angeles County
141,John F. Kennedy High,21,20,21,20,20.5,Granada Hills,34.2757507,-118.4875824,Gothic Avenue,Granada Hills,Los Angeles
142,John H. Francis Polytechnic,23,22,24,23,23.0,Sun Valley,34.2227342,-118.4043069,Roscoe Boulevard,Sun Valley,Los Angeles
143,John H. Glenn High,16,16,17,17,16.5,Norwalk,33.9078411,-118.0532269,Shoemaker Avenue,Norwalk,Los Angeles County
144,John Muir High,18,18,18,19,18.25,North Central,34.1781121,-118.1607337,Lincoln Avenue,North Central,Pasadena
145,Jordan High,17,16,18,18,17.25,South Los Angeles,33.944673,-118.2298545,East 103rd Street,South Los Angeles,Los Angeles
146,King/Drew Medical Magnet High,21,19,19,19,19.5,South Los Angeles,33.9245338,-118.2451934,East 120th Street,South Los Angeles,Los Angeles
147,L.A. County High School for the Arts,26,26,21,22,23.75,Los Angeles County,34.06934469999999,-118.167105,Northeast Los Angeles,Los Angeles County,California
148,La Canada High,29,29,29,28,28.75,La Cañada Flintridge,34.1930688,-118.1786584,Oak Grove Drive,La Cañada Flintridge,Los Angeles County
149,La Mirada High,24,23,21,21,22.25,La Mirada,33.908257,-118.0030685,Adelfa Drive,La Mirada,Los Angeles County
150,La Puente High,22,20,21,20,20.75,La Puente,34.0259258,-117.9545326,Nelson Avenue East,La Puente,Los Angeles County
151,La Serna High,23,22,23,22,22.5,East Whitter,33.955972,-117.9966243,Youngwood Drive,East Whitter,Whittier
152,Lakewood High,22,21,21,21,21.25,Lakewood,33.8381274,-118.1228629,Briercrest Avenue,Lakewood,Los Angeles County
153,Lancaster High,21,21,19,20,20.25,Lancaster,34.6939529,-118.1894258,32nd Street West,Lancaster,Los Angeles County
154,Lawndale High,18,17,17,18,17.5,Lawndale,33.8958368,-118.3625891,South Inglewood Avenue,Lawndale,Los Angeles County
155,"Lennox Mathematics, Science and Technology Academy",18,17,19,18,18.0,Inglewood,33.9347199,-118.351975,Hawthorne Boulevard,Inglewood,Los Angeles County
156,Leuzinger High,18,17,17,17,17.25,Lawndale,33.9015788,-118.3469179,Rosecrans Avenue,Lawndale,Los Angeles County
157,Lifeline Education Charter,16,14,16,15,15.25,Compton,33.8947254,-118.2162573,South Santa Fe Avenue,Compton,Los Angeles County
158,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,16,16,17,17,16.5,Huntington Park,33.9821827,-118.2339182,Cottage Street,Huntington Park,Los Angeles County
159,Linda Esperanza Marquez High B LIBRA Academy,18,18,18,18,18.0,Huntington Park,33.9821827,-118.2339182,Cottage Street,Huntington Park,Los Angeles County
